"game_id","team","start_zone","player","count","mean_x","mean_y"
3,"away",1,"Gareth
Umtiti",6,990.5,5956.875
3,"away",1,"Muhamed
Ramos",2,357,5271.75
3,"away",1,"Christiano
Griezmann",3,332.5,5373
3,"away",1,"Antoine
De Bruyne",1,1270.5,6270.75
3,"away",1,"Kevin
Salah",1,1407,5845.5
3,"away",2,"Muhamed
Ramos",2,950.25,3098.25
3,"away",2,"Samuel
Umtiti",2,1559.25,2997
3,"away",2,"Christiano
Griezmann",1,1512,2659.5
3,"away",2,"Antoine
De Bruyne",34,852.970588235294,3336.88235294118
3,"away",2,"Kevin
Salah",1,892.5,2578.5
3,"away",3,"Gareth
Ronaldo",1,1323,1593
3,"away",3,"Muhamed
Ramos",1,1291.5,2004.75
3,"away",3,"Gareth
Pogba",6,1053.5,1206
3,"away",3,"Samuel
Umtiti",2,1533,1532.25
3,"away",3,"Kevin
Salah",8,1239,688.5
3,"away",4,"Gareth
Umtiti",10,2785.65,6050.025
3,"away",4,"Muhamed
Ramos",2,3402,5241.375
3,"away",4,"Kevin
Griezmann",2,2047.5,5852.25
3,"away",4,"Samuel
Umtiti",4,3047.625,5108.0625
3,"away",4,"Christiano
Griezmann",5,2257.5,5499.9
3,"away",4,"Antoine
De Bruyne",1,2562,5467.5
3,"away",4,"Christiano
Bale",1,2089.5,6257.25
3,"away",5,"Gareth
Umtiti",2,2656.5,3969
3,"away",5,"Muhamed
Ramos",6,2983.75,2527.875
3,"away",5,"Gareth
Pogba",3,2884,4023
3,"away",5,"Samuel
Umtiti",8,2651.25,3482.15625
3,"away",5,"Christiano
Griezmann",3,3181.5,3361.5
3,"away",5,"Antoine
De Bruyne",2,2556.75,2811.375
3,"away",6,"Gareth
Ronaldo",5,2690.1,1417.5
3,"away",6,"Muhamed
Ramos",7,2670,1383.75
3,"away",6,"Gareth
Pogba",14,2675.25,1355.30357142857
3,"away",6,"Samuel
Umtiti",5,2698.5,1632.15
3,"away",6,"Christiano
Griezmann",1,2677.5,1863
3,"away",6,"Kevin
Salah",16,2723.4375,606.234375
3,"away",6,"Christiano
Bale",5,2996.7,1134
3,"away",7,"Gareth
Umtiti",7,4071,6086.57142857143
3,"away",7,"Gareth
Ronaldo",1,4977,6453
3,"away",7,"Muhamed
Ramos",4,4538.625,4984.875
3,"away",7,"Kevin
Griezmann",8,4185.5625,5379.75
3,"away",7,"Samuel
Umtiti",4,4173.75,5273.4375
3,"away",7,"Christiano
Griezmann",10,4211.55,5462.775
3,"away",7,"Sergio
De Bruyne",1,4053,5400
3,"away",7,"Kevin
Salah",1,3643.5,5400
3,"away",7,"Christiano
Bale",4,4530.75,5146.875
3,"away",8,"Muhamed
Ramos",13,4181.42307692308,3204.69230769231
3,"away",8,"Gareth
Pogba",4,4242,2887.3125
3,"away",8,"Kevin
Griezmann",1,5040,2990.25
3,"away",8,"Samuel
Umtiti",9,4187.16666666667,3346.5
3,"away",8,"Christiano
Griezmann",2,4236.75,3604.5
3,"away",8,"Kevin
Salah",1,4693.5,3327.75
3,"away",8,"Christiano
Bale",9,4272.33333333333,3570.75
3,"away",8,"Muhamed
Griezmann",1,3633,4279.5
3,"away",9,"Gareth
Ronaldo",3,4504.5,1091.25
3,"away",9,"Muhamed
Ramos",1,3538.5,1748.25
3,"away",9,"Gareth
Pogba",7,4357.5,1116.64285714286
3,"away",9,"Samuel
Umtiti",8,4421.8125,1407.375
3,"away",9,"Antoine
De Bruyne",1,3832.5,2072.25
3,"away",9,"Kevin
Salah",15,4216.8,722.25
3,"away",9,"Christiano
Bale",3,4763.5,1289.25
3,"away",10,"Gareth
Umtiti",13,6463.15384615385,6352.78846153846
3,"away",10,"Muhamed
Ramos",9,6203.16666666667,5454.75
3,"away",10,"Kevin
Griezmann",2,6027,5224.5
3,"away",10,"Samuel
Umtiti",11,6325.77272727273,5497.56818181818
3,"away",10,"Christiano
Griezmann",3,5852,5211
3,"away",10,"Sergio
De Bruyne",1,5775,6439.5
3,"away",10,"Christiano
Bale",11,6393.54545454545,5646.68181818182
3,"away",10,"Muhamed
Griezmann",1,6226.5,5575.5
3,"away",11,"Gareth
Ronaldo",1,6762,2274.75
3,"away",11,"Muhamed
Ramos",7,5832,3218.78571428571
3,"away",11,"Gareth
Pogba",1,5743.5,2490.75
3,"away",11,"Kevin
Griezmann",3,5719,3818.25
3,"away",11,"Samuel
Umtiti",8,5667.375,3396.09375
3,"away",11,"Christiano
Griezmann",1,6636,3881.25
3,"away",11,"Sergio
De Bruyne",1,6625.5,4475.25
3,"away",11,"Christiano
Bale",7,6171,3323.89285714286
3,"away",11,"Muhamed
Griezmann",3,5957,2920.5
3,"away",12,"Gareth
Ronaldo",7,6322.5,1371.21428571429
3,"away",12,"Muhamed
Ramos",5,6176.1,1341.9
3,"away",12,"Gareth
Pogba",3,5691,1305
3,"away",12,"Kevin
Griezmann",1,6279,810
3,"away",12,"Samuel
Umtiti",4,5832.75,1780.3125
3,"away",12,"Kevin
Salah",11,6144.40909090909,623.454545454545
3,"away",12,"Christiano
Bale",3,6174,1829.25
3,"away",12,"Muhamed
Griezmann",1,6730.5,378
3,"away",13,"Gareth
Umtiti",10,7417.2,6347.025
3,"away",13,"Gareth
Ronaldo",3,7220.5,5568.75
3,"away",13,"Muhamed
Ramos",2,7192.5,5207.625
3,"away",13,"Kevin
Griezmann",10,7572.6,5907.6
3,"away",13,"Samuel
Umtiti",2,7266,5028.75
3,"away",13,"Christiano
Bale",10,7539,5460.075
3,"away",13,"Muhamed
Griezmann",1,7770,4947.75
3,"away",14,"Muhamed
Ramos",1,7444.5,2605.5
3,"away",14,"Kevin
Griezmann",1,7759.5,4286.25
3,"away",14,"Kevin
Salah",2,7801.5,2862
3,"away",14,"Christiano
Bale",3,7514.5,3807
3,"away",14,"Muhamed
Griezmann",3,7815.5,3870
3,"away",15,"Gareth
Ronaldo",1,7014,162
3,"away",15,"Muhamed
Ramos",4,7714.875,1100.25
3,"away",15,"Kevin
Griezmann",3,8060.5,1197
3,"away",15,"Kevin
Salah",6,7820.75,473.625
3,"away",15,"Christiano
Bale",1,7161,1903.5
3,"away",15,"Muhamed
Griezmann",1,7591.5,722.25
3,"away",16,"Gareth
Umtiti",6,9791.25,5808.375
3,"away",16,"Gareth
Ronaldo",1,8830.5,5980.5
3,"away",16,"Kevin
Griezmann",4,9366,5680.125
3,"away",16,"Sergio
De Bruyne",1,9355.5,6189.75
3,"away",16,"Muhamed
Griezmann",1,9901.5,5292
3,"away",17,"Gareth
Ronaldo",1,9366,4090.5
3,"away",17,"Christiano
Bale",1,9607.5,3631.5
3,"away",17,"Muhamed
Griezmann",2,9219,2720.25
3,"away",18,"Gareth
Ronaldo",4,9376.5,1120.5
3,"away",18,"Muhamed
Ramos",1,9544.5,1275.75
3,"away",18,"Kevin
Salah",2,9513,84.375
3,"home",1,"Muhamed
Ronaldo",1,1648.5,5433.75
3,"home",1,"Paul
Ramos",1,724.5,4765.5
3,"home",1,"Christiano
De Bruyne",1,357,5562
